[11:32] Temp: 31.4°C, Humidity: 82.0%, Pressure: 977 hPa
[11:33] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:34] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:35] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:36] Temp: 31.3°C, Humidity: 83.0%, Pressure: 977 hPa
[11:37] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:38] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:39] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:40] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:41] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:42] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:43] Temp: 31.4°C, Humidity: 83.0%, Pressure: 977 hPa
[11:44] Temp: 31.3°C, Humidity: 83.0%, Pressure: 977 hPa
[11:45] Temp: 31.3°C, Humidity: 83.0%, Pressure: 977 hPa
[11:46] Temp: 31.2°C, Humidity: 83.0%, Pressure: 977 hPa
[11:47] Temp: 31.2°C, Humidity: 83.0%, Pressure: 977 hPa
[11:48] Temp: 31.2°C, Humidity: 83.0%, Pressure: 977 hPa
[11:49] Temp: 31.2°C, Humidity: 83.0%, Pressure: 977 hPa
[11:59] Temp: 30.9°C, Humidity: 83.0%, Pressure: 977 hPa
[12:00] Temp: 30.9°C, Humidity: 83.0%, Pressure: 977 hPa
[12:01] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[12:02] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:03] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:04] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:05] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:06] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:07] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa [LOW TEMP ❄️]
[12:08] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:09] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:10] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:11] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:12] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:13] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:14] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:15] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:16] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:17] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:18] Temp: 30.7°C, Humidity: 84.0%, Pressure: 977 hPa
[12:19] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:20] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:21] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:22] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:23] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:24] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:25] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:26] Temp: 30.8°C, Humidity: 84.0%, Pressure: 977 hPa
[12:27] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[12:28] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[12:29] Temp: 30.9°C, Humidity: 84.0%, Pressure: 977 hPa
[12:42] Temp: 31.3°C, Humidity: 82.0%, Pressure: 977 hPa
[12:43] Temp: 31.2°C, Humidity: 82.0%, Pressure: 977 hPa
[12:44] Temp: 31.2°C, Humidity: 83.0%, Pressure: 977 hPa
[12:45] Temp: 31.1°C, Humidity: 83.0%, Pressure: 977 hPa
[12:46] Temp: 31.1°C, Humidity: 84.0%, Pressure: 977 hPa
[12:47] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:48] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:49] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:50] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:51] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:52] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:53] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[12:54] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[12:55] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[12:56] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[12:57] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
